ASX code,Company name,Listing date,GICs industry group,Yahoo
4CE,FORCE COMMODITIES LIMITED,2010-12-03,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""4CE.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1291330800000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615863342, ""fmt"": ""1:55PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.02, ""fmt"": ""0.0200""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""FORCECOM FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Force Commodities Limited""}], ""error"": null}}"
4DS,4DS MEMORY LIMITED,2010-12-09,Semiconductors & Semiconductor Equipment,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""4DS.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1291849200000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.185, ""fmt"": ""0.1850""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""4DSMEMORY FPO"", ""triggerable"": false, ""longName"": ""4DS Memory Limited""}], ""error"": null}}"
4DX,4DMEDICAL LIMITED,2020-08-07,Health Care Equipment & Services,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""4DX.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""firstTradeDateMilliseconds"": 1596758400000, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 1.54, ""fmt"": ""1.5400""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""4DMEDICAL FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""4DMedical Limited""}], ""error"": null}}"
5GG,PENTANET LIMITED,2021-01-29,Class Pend,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""5GG.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1611874800000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615869775, ""fmt"": ""3:42PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.57, ""fmt"": ""0.5700""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""PENTANET FPO"", ""triggerable"": false, ""longName"": ""Pentanet Limited""}], ""error"": null}}"
5GN,5G NETWORKS LIMITED,2017-11-17,Telecommunication Services,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""5GN.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""firstTradeDateMilliseconds"": 1510873200000, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 1.24, ""fmt"": ""1.2400""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""5G NETWORK FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""5G Networks Limited""}], ""error"": null}}"
88E,88 ENERGY LIMITED,2000-01-20,Energy,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""88E.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1114646400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.022, ""fmt"": ""0.0220""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""88 ENERGY FPO"", ""triggerable"": false, ""longName"": ""88 Energy Limited""}], ""error"": null}}"
8CO,8COMMON LIMITED,2014-08-27,Software & Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""8CO.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""firstTradeDateMilliseconds"": 1409097600000, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615870776, ""fmt"": ""3:59PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.18, ""fmt"": ""0.1800""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""8COMMONLTD FPO"", ""triggerable"": false, ""longName"": ""8common Limited""}], ""error"": null}}"
8EC,8IP EMERGING COMPANIES LIMITED,2015-12-01,Not Applic,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""8EC.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1448838000000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1602630966, ""fmt"": ""10:16AM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.033, ""fmt"": ""0.0330""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""8IP EMERG FPO"", ""triggerable"": false, ""longName"": ""8IP Emerging Companies Limited""}], ""error"": null}}"
8IH,8I HOLDINGS LTD,2014-12-17,Diversified Financials,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""8IH.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1418770800000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615869331, ""fmt"": ""3:35PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.19, ""fmt"": ""0.1900""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""8I HOLD CDI 1:1"", ""triggerable"": false, ""longName"": ""8I Holdings Limited""}], ""error"": null}}"
8VI,8VI HOLDINGS LIMITED,2015-12-16,Consumer Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""8VI.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1450220400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 2.48, ""fmt"": ""2.4800""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""8VIHOLD CDI 1:1"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""8VI Holdings Limited""}], ""error"": null}}"
