ASX code,Company name,Listing date,GICs industry group,Yahoo
CGM,COUGAR METALS NL,2003-12-16,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CGM.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1569293657, ""fmt"": ""12:54PM AEST""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.001, ""fmt"": ""0.0010""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""COUGAR FPO"", ""triggerable"": false, ""longName"": ""Cougar Metals NL""}], ""error"": null}}"
CGN,CRATER GOLD MINING LIMITED,2002-11-01,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CGN.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871425, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.02, ""fmt"": ""0.0200""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CRATERGOLD FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Crater Gold Mining Limited""}], ""error"": null}}"
CGO,CPT GLOBAL LIMITED,2000-09-08,Software & Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CGO.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615763303, ""fmt"": ""10:08AM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.415, ""fmt"": ""0.4150""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""CPT GLOBAL FPO"", ""triggerable"": false, ""longName"": ""CPT Global Limited""}], ""error"": null}}"
CGS,COGSTATE LTD,2004-02-13,Health Care Equipment & Services,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CGS.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.93, ""fmt"": ""0.9300""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""COGSTATE FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Cogstate Limited""}], ""error"": null}}"
CHC,CHARTER HALL GROUP,2005-06-10,Real Estate,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CHC.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 12.26, ""fmt"": ""12.26""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""CHARTER HG STP FORUS"", ""triggerable"": false, ""longName"": ""Charter Hall Group""}], ""error"": null}}"
CHK,COHIBA MINERALS LIMITED,2012-02-01,Materials,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CHK.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.022, ""fmt"": ""0.0220""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""COHIBA FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Cohiba Minerals Limited""}], ""error"": null}}"
CHM,CHIMERIC THERAPEUTICS LIMITED,2021-01-18,"Pharmaceuticals, Biotechnology & Life Sciences","{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CHM.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.305, ""fmt"": ""0.3050""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CHIMERIC FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Chimeric Therapeutics Limited""}], ""error"": null}}"
CHN,CHALICE MINING LIMITED,2006-03-24,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CHN.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 4.42, ""fmt"": ""4.4200""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""CHALICE FPO"", ""triggerable"": false, ""longName"": ""Chalice Mining Limited""}], ""error"": null}}"
CHZ,CHESSER RESOURCES LIMITED,2007-05-29,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CHZ.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871425, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.175, ""fmt"": ""0.1750""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CHESSER FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Chesser Resources Limited""}], ""error"": null}}"
CI1,CREDIT INTELLIGENCE LTD,2008-07-10,Commercial & Professional Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CI1.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.036, ""fmt"": ""0.0360""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CREDITL FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Credit Intelligence Limited""}], ""error"": null}}"
CIA,CHAMPION IRON LIMITED,2007-06-08,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CIA.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871425, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 6.14, ""fmt"": ""6.14""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CHAMP IRON FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Champion Iron Limited""}], ""error"": null}}"
CIE,CONTANGO INCOME GENERATOR  LIMITED,2015-08-14,Not Applic,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CIE.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.61, ""fmt"": ""0.6100""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CNTNGO INC FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Contango Income Generator Limited""}], ""error"": null}}"
CII,CI RESOURCES LIMITED,1987-07-24,Materials,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CII.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1613956808, ""fmt"": ""12:20PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.9, ""fmt"": ""0.9000""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""CI RES FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""CI Resources Limited""}], ""error"": null}}"
CIM,CIMIC GROUP LIMITED,1962-12-11,Capital Goods,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CIM.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 19.06, ""fmt"": ""19.06""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CIMIC FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""CIMIC Group Limited""}], ""error"": null}}"
CIN,CARLTON INVESTMENTS LIMITED,1970-06-30,Not Applic,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CIN.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615866197, ""fmt"": ""2:43PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 27.5, ""fmt"": ""27.50""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""CARLT.INV. FPO"", ""triggerable"": false, ""longName"": ""Carlton Investments Limited""}], ""error"": null}}"
CIO,CONNECTED IO LIMITED,1984-08-16,Technology Hardware & Equipment,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CIO.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615859107, ""fmt"": ""12:45PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.008, ""fmt"": ""0.0080""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""CONNECTIO FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Connected IO Limited""}], ""error"": null}}"
CIP,CENTURIA INDUSTRIAL REIT,2012-12-13,Real Estate,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CIP.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 3.12, ""fmt"": ""3.1200""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""CEN I REIT ORD UNIT"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Centuria Industrial REIT""}], ""error"": null}}"
CIW,CLIME INVESTMENT MANAGEMENT LTD,2000-12-15,Diversified Financials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CIW.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1614646612, ""fmt"": ""11:56AM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.57, ""fmt"": ""0.5700""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""CLIME INV FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Clime Investment Management Limited""}], ""error"": null}}"
CKA,COKAL LIMITED,2000-04-17,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CKA.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615859933, ""fmt"": ""12:58PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.07, ""fmt"": ""0.0700""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""COKAL FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Cokal Limited""}], ""error"": null}}"
CKF,COLLINS FOODS LIMITED,2011-08-04,Consumer Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CKF.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 10.13, ""fmt"": ""10.13""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""COLLINS FD FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Collins Foods Limited""}], ""error"": null}}"
CL1,CLASS LIMITED,2015-12-18,Software & Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CL1.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 1.665, ""fmt"": ""1.6650""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""CLASS FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Class Limited""}], ""error"": null}}"
CL8,CARLY HOLDINGS LIMITED,1996-09-09,Retailing,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CL8.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615867427, ""fmt"": ""3:03PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.145, ""fmt"": ""0.1450""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""CARLYHOLD FPO"", ""triggerable"": false, ""longName"": ""Carly Holdings Limited""}], ""error"": null}}"
CLA,CELSIUS RESOURCES LIMITED.,1988-03-24,Materials,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CLA.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615868834, ""fmt"": ""3:27PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.046, ""fmt"": ""0.0460""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""CELRES FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Celsius Resources Limited""}], ""error"": null}}"
CLB,CANDY CLUB HOLDINGS LIMITED,2019-02-19,Food & Staples Retailing,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CLB.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615870023, ""fmt"": ""3:47PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.25, ""fmt"": ""0.2500""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CANDY CLUB FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Candy Club Holdings Limited""}], ""error"": null}}"
CLE,CYCLONE METALS LIMITED,2001-06-07,Materials,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CLE.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1602825021, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.009, ""fmt"": ""0.0090""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CYCLONE FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Cyclone Metals Limited""}], ""error"": null}}"
CLF,CONCENTRATED LEADERS FUND LIMITED,1987-09-17,Not Applic,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CLF.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615783900, ""fmt"": ""3:51PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 1.2, ""fmt"": ""1.2000""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""CONCENTLFL FPO"", ""triggerable"": false, ""longName"": ""Concentrated Leaders Fund Limited""}], ""error"": null}}"
CLH,COLLECTION HOUSE LIMITED,2000-10-04,Diversified Financials,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CLH.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615868988, ""fmt"": ""3:29PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.235, ""fmt"": ""0.2350""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""shortName"": ""COLL HOUSE FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Collection House Limited""}], ""error"": null}}"
CLI,CROPLOGIC LIMITED,2017-09-12,Commercial & Professional Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CLI.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1573708209, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.031, ""fmt"": ""0.0310""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""CROPLOGIC FPO"", ""triggerable"": false, ""longName"": ""CropLogic Limited""}], ""error"": null}}"
CLQ,CLEAN TEQ HOLDINGS LIMITED,2007-11-09,Commercial & Professional Services,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""CLQ.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.265, ""fmt"": ""0.2650""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""CLEANTEQ FPO"", ""triggerable"": false, ""longName"": ""Clean TeQ Holdings Limited""}], ""error"": null}}"
CLT,CELLNET GROUP LIMITED,1999-11-17,Technology Hardware & Equipment,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""CLT.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615869076, ""fmt"": ""3:31PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.082, ""fmt"": ""0.0820""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""CELLNET FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Cellnet Group Limited""}], ""error"": null}}"
